Doc ID,Question,Ground Truth,Prediction,Score,Category,L2 Category,Stage,Is Changed,Text Output,NormalizedTextOutput,Cumulative Confidence 1
6,"What is the overall theme of the image?
Options: A: A woman in different polka dot dresses, B: A stone wall along a stone path, C: A woman in an outdoor setting, D: A house with a black roof",A,['A'],1.0,coarse perception,image scene and topic,Stage 0,True,['C'],c,0.7403046489761902
6,"What is the overall theme of the image?
Options: A: A woman in different polka dot dresses, B: A stone wall along a stone path, C: A woman in an outdoor setting, D: A house with a black roof",A,['A'],1.0,coarse perception,image scene and topic,Stage 1,True,['A'],a,0.5790495277451111
6,"What is the overall theme of the image?
Options: A: A woman in different polka dot dresses, B: A stone wall along a stone path, C: A woman in an outdoor setting, D: A house with a black roof",A,['A'],1.0,coarse perception,image scene and topic,Stage 2,True,['A'],a,0.815460741619928
6,"What is the overall theme of the image?
Options: A: A woman in different polka dot dresses, B: A stone wall along a stone path, C: A woman in an outdoor setting, D: A house with a black roof",A,['A'],1.0,coarse perception,image scene and topic,Stage 3,True,['A'],a,0.6355155111359192
7,"What is the primary subject in this image?
Options: A: a guitar, B: a man on stage, C: a microphone, D: a concert",D,['B'],0.0,coarse perception,image scene and topic,Stage 0,True,['D'],d,0.829930305580957
7,"What is the primary subject in this image?
Options: A: a guitar, B: a man on stage, C: a microphone, D: a concert",D,['B'],0.0,coarse perception,image scene and topic,Stage 1,True,['B'],b,0.8645190597580505
7,"What is the primary subject in this image?
Options: A: a guitar, B: a man on stage, C: a microphone, D: a concert",D,['B'],0.0,coarse perception,image scene and topic,Stage 2,True,['B'],b,0.7925832272575928
7,"What is the primary subject in this image?
Options: A: a guitar, B: a man on stage, C: a microphone, D: a concert",D,['B'],0.0,coarse perception,image scene and topic,Stage 3,True,['B'],b,0.9097200037048888
8,"What is the overall theme of the image?
Options: A: A businessman with a unique face, B: A man in a formal dress with a beard, C: An actor with a cut on his face, D: A man with a diagram of his face",B,['D'],0.0,coarse perception,image scene and topic,Stage 0,False,['D'],d,0.5273975134895874
8,"What is the overall theme of the image?
Options: A: A businessman with a unique face, B: A man in a formal dress with a beard, C: An actor with a cut on his face, D: A man with a diagram of his face",B,['D'],0.0,coarse perception,image scene and topic,Stage 1,False,['D'],d,0.9445173145340516
8,"What is the overall theme of the image?
Options: A: A businessman with a unique face, B: A man in a formal dress with a beard, C: An actor with a cut on his face, D: A man with a diagram of his face",B,['D'],0.0,coarse perception,image scene and topic,Stage 2,False,['D'],d,0.9782028795288636
8,"What is the overall theme of the image?
Options: A: A businessman with a unique face, B: A man in a formal dress with a beard, C: An actor with a cut on his face, D: A man with a diagram of his face",B,['D'],0.0,coarse perception,image scene and topic,Stage 3,False,['D'],d,0.9516876340912416
9,"What feeling is represented in this image?
Options: A: engaged, B: distressed, C: angry, D: sad",D,['A'],0.0,coarse perception,image emotion,Stage 0,False,['B'],b,0.8735194207237793
9,"What feeling is represented in this image?
Options: A: engaged, B: distressed, C: angry, D: sad",D,['A'],0.0,coarse perception,image emotion,Stage 1,False,['B'],b,0.6547775865601135
9,"What feeling is represented in this image?
Options: A: engaged, B: distressed, C: angry, D: sad",D,['A'],0.0,coarse perception,image emotion,Stage 2,False,['B'],b,0.8173506856964661
9,"What feeling is represented in this image?
Options: A: engaged, B: distressed, C: angry, D: sad",D,['A'],0.0,coarse perception,image emotion,Stage 3,False,['B'],b,0.823214590649469
10,"What time of day is it in the image?
Options: A: Noon, B: Evening, C: Night, D: Dawn",D,['B'],0.0,coarse perception,image scene and topic,Stage 0,True,['C'],c,0.3952774704502655
10,"What time of day is it in the image?
Options: A: Noon, B: Evening, C: Night, D: Dawn",D,['B'],0.0,coarse perception,image scene and topic,Stage 1,True,['C'],c,0.321995735268457
10,"What time of day is it in the image?
Options: A: Noon, B: Evening, C: Night, D: Dawn",D,['B'],0.0,coarse perception,image scene and topic,Stage 2,True,['B'],b,0.8631349803017212
10,"What time of day is it in the image?
Options: A: Noon, B: Evening, C: Night, D: Dawn",D,['B'],0.0,coarse perception,image scene and topic,Stage 3,True,['B'],b,0.8410981298492981
11,"What is the dominant feature in the image?
Options: A: The bridge, B: The lake, C: The city skyline, D: The buildings",D,['C'],0.0,coarse perception,image scene and topic,Stage 0,True,['D'],d,0.60527503500448
11,"What is the dominant feature in the image?
Options: A: The bridge, B: The lake, C: The city skyline, D: The buildings",D,['C'],0.0,coarse perception,image scene and topic,Stage 1,True,['C'],c,0.6932592392967774
11,"What is the dominant feature in the image?
Options: A: The bridge, B: The lake, C: The city skyline, D: The buildings",D,['C'],0.0,coarse perception,image scene and topic,Stage 2,True,['C'],c,0.8811724186943604
11,"What is the dominant feature in the image?
Options: A: The bridge, B: The lake, C: The city skyline, D: The buildings",D,['C'],0.0,coarse perception,image scene and topic,Stage 3,True,['C'],c,0.8784199358032776
12,"What is the main focus of this image?
Options: A: The grassy hill, B: The sculpture, C: The fence, D: The building",A,['B'],0.0,coarse perception,image scene and topic,Stage 0,True,['A'],a,0.7742877007530762
12,"What is the main focus of this image?
Options: A: The grassy hill, B: The sculpture, C: The fence, D: The building",A,['B'],0.0,coarse perception,image scene and topic,Stage 1,True,['B'],b,0.490269422631128
12,"What is the main focus of this image?
Options: A: The grassy hill, B: The sculpture, C: The fence, D: The building",A,['B'],0.0,coarse perception,image scene and topic,Stage 2,True,['B'],b,0.4888539613293244
12,"What is the main focus of this image?
Options: A: The grassy hill, B: The sculpture, C: The fence, D: The building",A,['B'],0.0,coarse perception,image scene and topic,Stage 3,True,['B'],b,0.4857946039246155
13,"Which mood does this image convey?
Options: A: Sad, B: Cozy, C: Happy, D: Angry",B,['C'],0.0,coarse perception,image emotion,Stage 0,False,['C'],c,0.408029168944223
13,"Which mood does this image convey?
Options: A: Sad, B: Cozy, C: Happy, D: Angry",B,['C'],0.0,coarse perception,image emotion,Stage 1,False,['C'],c,0.9881034494446352
13,"Which mood does this image convey?
Options: A: Sad, B: Cozy, C: Happy, D: Angry",B,['C'],0.0,coarse perception,image emotion,Stage 2,False,['C'],c,0.9878045321510864
13,"Which mood does this image convey?
Options: A: Sad, B: Cozy, C: Happy, D: Angry",B,['C'],0.0,coarse perception,image emotion,Stage 3,False,['C'],c,0.9823803902672364
14,"What is the main subject of the image?
Options: A: Sky, B: Water, C: Sun, D: Clouds",A,['C'],0.0,coarse perception,image scene and topic,Stage 0,False,['C'],c,0.899136483769281
14,"What is the main subject of the image?
Options: A: Sky, B: Water, C: Sun, D: Clouds",A,['C'],0.0,coarse perception,image scene and topic,Stage 1,False,['C'],c,0.8976534009979797
14,"What is the main subject of the image?
Options: A: Sky, B: Water, C: Sun, D: Clouds",A,['C'],0.0,coarse perception,image scene and topic,Stage 2,False,['C'],c,0.9086187482880188
14,"What is the main subject of the image?
Options: A: Sky, B: Water, C: Sun, D: Clouds",A,['C'],0.0,coarse perception,image scene and topic,Stage 3,False,['C'],c,0.87117600450979
15,"What object dominates the image in the foreground?
Options: A: A rocky and grassy field, B: Hills in the distance, C: A dirt road leading up a grassy hill to a rocky path, D: A large grey rock",C,['C'],1.0,coarse perception,image scene and topic,Stage 0,False,['C'],c,0.6121002436684204
15,"What object dominates the image in the foreground?
Options: A: A rocky and grassy field, B: Hills in the distance, C: A dirt road leading up a grassy hill to a rocky path, D: A large grey rock",C,['C'],1.0,coarse perception,image scene and topic,Stage 1,False,['C'],c,0.973017990689142
15,"What object dominates the image in the foreground?
Options: A: A rocky and grassy field, B: Hills in the distance, C: A dirt road leading up a grassy hill to a rocky path, D: A large grey rock",C,['C'],1.0,coarse perception,image scene and topic,Stage 2,False,['C'],c,0.7772878409432006
15,"What object dominates the image in the foreground?
Options: A: A rocky and grassy field, B: Hills in the distance, C: A dirt road leading up a grassy hill to a rocky path, D: A large grey rock",C,['C'],1.0,coarse perception,image scene and topic,Stage 3,False,['C'],c,0.5508142114685608
16,"What feeling is shown in this image?
Options: A: engaged, B: distressed, C: angry, D: love",A,['B'],0.0,coarse perception,image emotion,Stage 0,False,['B'],b,0.7360863686607911
16,"What feeling is shown in this image?
Options: A: engaged, B: distressed, C: angry, D: love",A,['B'],0.0,coarse perception,image emotion,Stage 1,False,['B'],b,0.959303379158838
16,"What feeling is shown in this image?
Options: A: engaged, B: distressed, C: angry, D: love",A,['B'],0.0,coarse perception,image emotion,Stage 2,False,['B'],b,0.8944878579186035
16,"What feeling is shown in this image?
Options: A: engaged, B: distressed, C: angry, D: love",A,['B'],0.0,coarse perception,image emotion,Stage 3,False,['B'],b,0.8739978672073914
17,"What is the overall theme of the image?
Options: A: Beach vacation, B: Athletic lifestyle, C: Summer fashion, D: Urban street style",C,['C'],1.0,coarse perception,image scene and topic,Stage 0,True,['B'],b,0.459780752758844
17,"What is the overall theme of the image?
Options: A: Beach vacation, B: Athletic lifestyle, C: Summer fashion, D: Urban street style",C,['C'],1.0,coarse perception,image scene and topic,Stage 1,True,['B'],b,0.4741394520805909
17,"What is the overall theme of the image?
Options: A: Beach vacation, B: Athletic lifestyle, C: Summer fashion, D: Urban street style",C,['C'],1.0,coarse perception,image scene and topic,Stage 2,True,['D'],d,0.4911041558788849
17,"What is the overall theme of the image?
Options: A: Beach vacation, B: Athletic lifestyle, C: Summer fashion, D: Urban street style",C,['C'],1.0,coarse perception,image scene and topic,Stage 3,True,['D'],d,0.5005210042999817
18,"What emotion is illustrated in this image?
Options: A: love, B: anger, C: happy, D: sad",A,['A'],1.0,coarse perception,image emotion,Stage 0,True,['D'],d,0.5353623629616333
18,"What emotion is illustrated in this image?
Options: A: love, B: anger, C: happy, D: sad",A,['A'],1.0,coarse perception,image emotion,Stage 1,True,['A'],a,0.7958768607185913
18,"What emotion is illustrated in this image?
Options: A: love, B: anger, C: happy, D: sad",A,['A'],1.0,coarse perception,image emotion,Stage 2,True,['C'],c,0.9353328944252564
18,"What emotion is illustrated in this image?
Options: A: love, B: anger, C: happy, D: sad",A,['A'],1.0,coarse perception,image emotion,Stage 3,True,['C'],c,0.8723739386604858
19,"<image 1> Which of the following is the most accurate statement of the cartoonist's meaning? 
Options: A: World War I is the crime of the ages, B: ALl nations involved in World War I at its outbreak are to blame for it, C: Russia and Austria are blamed unfairly, D: The nations of Europe are blaming one another",B,['D'],0.0,coarse perception,image scene and topic,Stage 0,False,['B'],b,0.7130152584122255
19,"<image 1> Which of the following is the most accurate statement of the cartoonist's meaning? 
Options: A: World War I is the crime of the ages, B: ALl nations involved in World War I at its outbreak are to blame for it, C: Russia and Austria are blamed unfairly, D: The nations of Europe are blaming one another",B,['D'],0.0,coarse perception,image scene and topic,Stage 1,False,['B'],b,0.718002498249872
19,"<image 1> Which of the following is the most accurate statement of the cartoonist's meaning? 
Options: A: World War I is the crime of the ages, B: ALl nations involved in World War I at its outbreak are to blame for it, C: Russia and Austria are blamed unfairly, D: The nations of Europe are blaming one another",B,['D'],0.0,coarse perception,image scene and topic,Stage 2,False,['B'],b,0.558997392754419
19,"<image 1> Which of the following is the most accurate statement of the cartoonist's meaning? 
Options: A: World War I is the crime of the ages, B: ALl nations involved in World War I at its outbreak are to blame for it, C: Russia and Austria are blamed unfairly, D: The nations of Europe are blaming one another",B,['D'],0.0,coarse perception,image scene and topic,Stage 3,False,['B'],b,0.4445864857243133
20,"What is the primary focus of the image?
Options: A: A woman riding a horse on a beach at sunset, B: A man riding a horse on a beach at sunset, C: A couple riding horses on a beach at sunset, D: A horse on a beach at sunset",B,['C'],0.0,coarse perception,image scene and topic,Stage 0,True,['D'],d,0.4714859427021576
20,"What is the primary focus of the image?
Options: A: A woman riding a horse on a beach at sunset, B: A man riding a horse on a beach at sunset, C: A couple riding horses on a beach at sunset, D: A horse on a beach at sunset",B,['C'],0.0,coarse perception,image scene and topic,Stage 1,True,['C'],c,0.5034955740974976
20,"What is the primary focus of the image?
Options: A: A woman riding a horse on a beach at sunset, B: A man riding a horse on a beach at sunset, C: A couple riding horses on a beach at sunset, D: A horse on a beach at sunset",B,['C'],0.0,coarse perception,image scene and topic,Stage 2,True,['A'],a,0.5494912267731262
20,"What is the primary focus of the image?
Options: A: A woman riding a horse on a beach at sunset, B: A man riding a horse on a beach at sunset, C: A couple riding horses on a beach at sunset, D: A horse on a beach at sunset",B,['C'],0.0,coarse perception,image scene and topic,Stage 3,True,['A'],a,0.5702446700142456
21,"What is the overall theme of this image?
Options: A: Sports, B: Sunset, C: Nature, D: Kids playing",B,['A'],0.0,coarse perception,image scene and topic,Stage 0,True,['B'],b,0.9664962888763978
21,"What is the overall theme of this image?
Options: A: Sports, B: Sunset, C: Nature, D: Kids playing",B,['A'],0.0,coarse perception,image scene and topic,Stage 1,True,['B'],b,0.9313837886856629
21,"What is the overall theme of this image?
Options: A: Sports, B: Sunset, C: Nature, D: Kids playing",B,['A'],0.0,coarse perception,image scene and topic,Stage 2,True,['A'],a,0.7787905336426331
21,"What is the overall theme of this image?
Options: A: Sports, B: Sunset, C: Nature, D: Kids playing",B,['A'],0.0,coarse perception,image scene and topic,Stage 3,True,['B'],b,0.4207851887749267
22,"What is the main color scheme of the image?
Options: A: Shades of blue and green, B: Bright oranges and pinks, C: Various shades of gray and black, D: A rainbow of vivid colors",C,['C'],1.0,coarse perception,image scene and topic,Stage 0,True,['A'],a,0.7047383190201355
22,"What is the main color scheme of the image?
Options: A: Shades of blue and green, B: Bright oranges and pinks, C: Various shades of gray and black, D: A rainbow of vivid colors",C,['C'],1.0,coarse perception,image scene and topic,Stage 1,True,['A'],a,0.602109968762262
22,"What is the main color scheme of the image?
Options: A: Shades of blue and green, B: Bright oranges and pinks, C: Various shades of gray and black, D: A rainbow of vivid colors",C,['C'],1.0,coarse perception,image scene and topic,Stage 2,True,['C'],c,0.9717714191483094
22,"What is the main color scheme of the image?
Options: A: Shades of blue and green, B: Bright oranges and pinks, C: Various shades of gray and black, D: A rainbow of vivid colors",C,['C'],1.0,coarse perception,image scene and topic,Stage 3,True,['C'],c,0.9469695688294006
23,"What is the overall mood of the image?
Options: A: Neutral, B: Somber, C: Tense, D: Joyful",A,['D'],0.0,coarse perception,image emotion,Stage 0,True,['C'],c,0.3937220872448516
23,"What is the overall mood of the image?
Options: A: Neutral, B: Somber, C: Tense, D: Joyful",A,['D'],0.0,coarse perception,image emotion,Stage 1,True,['C'],c,0.5200055838631226
23,"What is the overall mood of the image?
Options: A: Neutral, B: Somber, C: Tense, D: Joyful",A,['D'],0.0,coarse perception,image emotion,Stage 2,True,['D'],d,0.4721577168510986
23,"What is the overall mood of the image?
Options: A: Neutral, B: Somber, C: Tense, D: Joyful",A,['D'],0.0,coarse perception,image emotion,Stage 3,True,['D'],d,0.3665291667984559
24,"Which action is performed in this image?
Options: A: marching, B: playing cymbals, C: long jump, D: cheerleading",C,['A'],0.0,coarse perception,image scene and topic,Stage 0,True,['A'],a,0.3422442973660064
24,"Which action is performed in this image?
Options: A: marching, B: playing cymbals, C: long jump, D: cheerleading",C,['A'],0.0,coarse perception,image scene and topic,Stage 1,True,['A'],a,0.9310052991913392
24,"Which action is performed in this image?
Options: A: marching, B: playing cymbals, C: long jump, D: cheerleading",C,['A'],0.0,coarse perception,image scene and topic,Stage 2,True,['C'],c,0.7056174279259277
24,"Which action is performed in this image?
Options: A: marching, B: playing cymbals, C: long jump, D: cheerleading",C,['A'],0.0,coarse perception,image scene and topic,Stage 3,True,['C'],c,0.9748486877487732
25,"What is the weather like in the image?
Options: A: Snowy, B: Cloudy, C: Rainy, D: Sunny",B,['D'],0.0,coarse perception,image scene and topic,Stage 0,True,['B'],b,0.2850019932793212
25,"What is the weather like in the image?
Options: A: Snowy, B: Cloudy, C: Rainy, D: Sunny",B,['D'],0.0,coarse perception,image scene and topic,Stage 1,True,['A'],a,0.4785574675606323
25,"What is the weather like in the image?
Options: A: Snowy, B: Cloudy, C: Rainy, D: Sunny",B,['D'],0.0,coarse perception,image scene and topic,Stage 2,True,['D'],d,0.9101762176559998
25,"What is the weather like in the image?
Options: A: Snowy, B: Cloudy, C: Rainy, D: Sunny",B,['D'],0.0,coarse perception,image scene and topic,Stage 3,True,['D'],d,0.8350343109177185
26,"What is the main focus of the image?
Options: A: the woman's phone, B: the woman's hairstyle, C: the woman's sweater, D: the background scenery",B,['A'],0.0,coarse perception,image scene and topic,Stage 0,True,['A'],a,0.422106772761209
26,"What is the main focus of the image?
Options: A: the woman's phone, B: the woman's hairstyle, C: the woman's sweater, D: the background scenery",B,['A'],0.0,coarse perception,image scene and topic,Stage 1,True,['A'],a,0.97642320404516
26,"What is the main focus of the image?
Options: A: the woman's phone, B: the woman's hairstyle, C: the woman's sweater, D: the background scenery",B,['A'],0.0,coarse perception,image scene and topic,Stage 2,True,['A'],a,0.9098499418304992
26,"What is the main focus of the image?
Options: A: the woman's phone, B: the woman's hairstyle, C: the woman's sweater, D: the background scenery",B,['A'],0.0,coarse perception,image scene and topic,Stage 3,True,['B'],b,0.5069800616310669
27,"What is happening in the image?
Options: A: A group of men are playing soccer on a field., B: A football player is kicking a ball., C: A soccer player is practicing ball control at the stadium., D: An Olympic athlete is competing in a soccer match.",A,['C'],0.0,coarse perception,image scene and topic,Stage 0,True,['C'],c,0.4367458523319794
27,"What is happening in the image?
Options: A: A group of men are playing soccer on a field., B: A football player is kicking a ball., C: A soccer player is practicing ball control at the stadium., D: An Olympic athlete is competing in a soccer match.",A,['C'],0.0,coarse perception,image scene and topic,Stage 1,True,['C'],c,0.524544358353479
27,"What is happening in the image?
Options: A: A group of men are playing soccer on a field., B: A football player is kicking a ball., C: A soccer player is practicing ball control at the stadium., D: An Olympic athlete is competing in a soccer match.",A,['C'],0.0,coarse perception,image scene and topic,Stage 2,True,['B'],b,0.403533399205072
27,"What is happening in the image?
Options: A: A group of men are playing soccer on a field., B: A football player is kicking a ball., C: A soccer player is practicing ball control at the stadium., D: An Olympic athlete is competing in a soccer match.",A,['C'],0.0,coarse perception,image scene and topic,Stage 3,True,['B'],b,0.5743671656654907
28,"What is the primary activity depicted in the image?
Options: A: A crane lifting a box from a building, B: A man on a truck operating a crane to lift a box from a building, C: A crane lifting a house at sunset, D: A man on a balcony of a house under construction in the city at sunset",A,['A'],1.0,coarse perception,image scene and topic,Stage 0,True,['B'],b,0.8880431057022644
28,"What is the primary activity depicted in the image?
Options: A: A crane lifting a box from a building, B: A man on a truck operating a crane to lift a box from a building, C: A crane lifting a house at sunset, D: A man on a balcony of a house under construction in the city at sunset",A,['A'],1.0,coarse perception,image scene and topic,Stage 1,True,['B'],b,0.8745434881256653
28,"What is the primary activity depicted in the image?
Options: A: A crane lifting a box from a building, B: A man on a truck operating a crane to lift a box from a building, C: A crane lifting a house at sunset, D: A man on a balcony of a house under construction in the city at sunset",A,['A'],1.0,coarse perception,image scene and topic,Stage 2,True,['B'],b,0.5453615189598633
28,"What is the primary activity depicted in the image?
Options: A: A crane lifting a box from a building, B: A man on a truck operating a crane to lift a box from a building, C: A crane lifting a house at sunset, D: A man on a balcony of a house under construction in the city at sunset",A,['A'],1.0,coarse perception,image scene and topic,Stage 3,True,['A'],a,0.4400630296276642
29,"What is the main purpose of this garden?
Options: A: A venue for outdoor events, B: A place for sports activities, C: A spot for quiet and peaceful recreation, D: A location for plant research and study",A,['A'],1.0,coarse perception,image scene and topic,Stage 0,False,['C'],c,0.8795198799179627
29,"What is the main purpose of this garden?
Options: A: A venue for outdoor events, B: A place for sports activities, C: A spot for quiet and peaceful recreation, D: A location for plant research and study",A,['A'],1.0,coarse perception,image scene and topic,Stage 1,False,['C'],c,0.6733326316879822
29,"What is the main purpose of this garden?
Options: A: A venue for outdoor events, B: A place for sports activities, C: A spot for quiet and peaceful recreation, D: A location for plant research and study",A,['A'],1.0,coarse perception,image scene and topic,Stage 2,False,['C'],c,0.5276837945984436
29,"What is the main purpose of this garden?
Options: A: A venue for outdoor events, B: A place for sports activities, C: A spot for quiet and peaceful recreation, D: A location for plant research and study",A,['A'],1.0,coarse perception,image scene and topic,Stage 3,False,['C'],c,0.7616061569260193
30,"What is the prominent feature of the setting in the image?
Options: A: A bright ceiling light, B: A glass window, C: A large white curtain, D: A black speaker",A,['C'],0.0,coarse perception,image scene and topic,Stage 0,True,['D'],d,0.6144790650414063
30,"What is the prominent feature of the setting in the image?
Options: A: A bright ceiling light, B: A glass window, C: A large white curtain, D: A black speaker",A,['C'],0.0,coarse perception,image scene and topic,Stage 1,True,['C'],c,0.8544060588882996
30,"What is the prominent feature of the setting in the image?
Options: A: A bright ceiling light, B: A glass window, C: A large white curtain, D: A black speaker",A,['C'],0.0,coarse perception,image scene and topic,Stage 2,True,['A'],a,0.817721963028772
30,"What is the prominent feature of the setting in the image?
Options: A: A bright ceiling light, B: A glass window, C: A large white curtain, D: A black speaker",A,['C'],0.0,coarse perception,image scene and topic,Stage 3,True,['C'],c,0.7157837749527528
31,"Which of the following words best describes the theme of this image?
Options: A: Salad, B: Fruit, C: Healthy, D: Chicken",A,['A'],1.0,coarse perception,image scene and topic,Stage 0,False,['C'],c,0.9069340826080872
31,"Which of the following words best describes the theme of this image?
Options: A: Salad, B: Fruit, C: Healthy, D: Chicken",A,['A'],1.0,coarse perception,image scene and topic,Stage 1,False,['C'],c,0.4972041250275208
31,"Which of the following words best describes the theme of this image?
Options: A: Salad, B: Fruit, C: Healthy, D: Chicken",A,['A'],1.0,coarse perception,image scene and topic,Stage 2,False,['C'],c,0.458849310974939
31,"Which of the following words best describes the theme of this image?
Options: A: Salad, B: Fruit, C: Healthy, D: Chicken",A,['A'],1.0,coarse perception,image scene and topic,Stage 3,False,['C'],c,0.4527022541569305
32,"What is the predominant feature in the image?
Options: A: Cars, B: People, C: Buildings, D: Skyscrapers",D,['C'],0.0,coarse perception,image scene and topic,Stage 0,True,['D'],d,0.9205766917275024
32,"What is the predominant feature in the image?
Options: A: Cars, B: People, C: Buildings, D: Skyscrapers",D,['C'],0.0,coarse perception,image scene and topic,Stage 1,True,['D'],d,0.6695573926971985
32,"What is the predominant feature in the image?
Options: A: Cars, B: People, C: Buildings, D: Skyscrapers",D,['C'],0.0,coarse perception,image scene and topic,Stage 2,True,['D'],d,0.5940501094864441
32,"What is the predominant feature in the image?
Options: A: Cars, B: People, C: Buildings, D: Skyscrapers",D,['C'],0.0,coarse perception,image scene and topic,Stage 3,True,['C'],c,0.4482793212936951
