Doc ID,Question,Answer,Ground Truth,Prediction,Score,Category,L2 Category,Stage,Text Output,Cumulative Confidences
20,Is there a potted plant in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.7955693603561951]
20,Is there a potted plant in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['No'],[0.9059097171829772]
20,Is there a potted plant in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['No'],[0.5466864110039308]
20,Is there a potted plant in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.7153764964150026]
21,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.763375461201532]
21,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9538991452263428]
21,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9769744278000428]
21,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.964803457360132]
22,Is there a car in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 0,['No'],[0.6223644019173218]
22,Is there a car in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 1,['No'],[0.9262305499123168]
22,Is there a car in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 2,['No'],[0.9343326092766358]
22,Is there a car in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 3,['No'],[0.8518752456711365]
23,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.7771880627678467]
23,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9614546299980714]
23,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9769629241036012]
23,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9683024884270264]
24,Is there a traffic light in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.6477365494774414]
24,Is there a traffic light in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['No'],[0.6075999737785889]
24,Is there a traffic light in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9692851902054384]
24,Is there a traffic light in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.9697060586021974]
25,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.7689686418579651]
25,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9706341029213502]
25,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9928535820053652]
25,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9948403240250184]
26,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.7278897167252137]
26,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.8220969439552857]
26,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9171937109039856]
26,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.8538042307900024]
27,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.7633846999214722]
27,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9702010751770568]
27,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9907082320259644]
27,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9941589833305908]
28,Is there a car in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.7340297699974611]
28,Is there a car in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.9032340050743652]
28,Is there a car in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9136229158447816]
28,Is there a car in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.9637422562645508]
29,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.7717382908867432]
29,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.8332139254616333]
29,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9687950016068057]
29,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9614721537636354]
30,Is there a dog in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.9207305909203124]
30,Is there a dog in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.9572219849632811]
30,Is there a dog in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9732052684830262]
30,Is there a dog in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.9921606184052064]
31,Is there a person in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.969292461972101]
31,Is there a person in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9584498406456544]
31,Is there a person in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9802109600113466]
31,Is there a person in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9747300745056704]
32,Is there a dining table in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.8739854694412781]
32,Is there a dining table in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.757677972416742]
32,Is there a dining table in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.7744895816849304]
32,Is there a dining table in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.7878591419266296]
33,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8947163225220276]
33,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9715033770607544]
33,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.985673189263208]
33,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9905499816940858]
34,Is there a bed in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 0,['No'],[0.8005733490990234]
34,Is there a bed in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 1,['No'],[0.942443549733026]
34,Is there a bed in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 2,['No'],[0.932393193344934]
34,Is there a bed in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 3,['No'],[0.8902422786758972]
35,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8839633465813233]
35,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.8103851676987244]
35,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.8266409040497376]
35,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9085646868752076]
36,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.9353007675217224]
36,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.9780200720833376]
36,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9882845879601077]
36,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.992278814415796]
37,Is there a dining table in the image?,no,no,['Yes'],0.0,popular,Unknown,Stage 0,['No'],[0.8886688948677612]
37,Is there a dining table in the image?,no,no,['Yes'],0.0,popular,Unknown,Stage 1,['No'],[0.8773732782410217]
37,Is there a dining table in the image?,no,no,['Yes'],0.0,popular,Unknown,Stage 2,['Yes'],[0.699194312195642]
37,Is there a dining table in the image?,no,no,['Yes'],0.0,popular,Unknown,Stage 3,['Yes'],[0.7717920542763306]
38,Is there a spoon in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.8807165027664734]
38,Is there a spoon in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['No'],[0.7633842826889587]
38,Is there a spoon in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['No'],[0.6441509128616882]
38,Is there a spoon in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.7826057077454163]
39,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8557676673935486]
39,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9697437287376952]
39,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.990848183731897]
39,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9952238203095032]
40,Is there a fork in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 0,['No'],[0.8871170283363892]
40,Is there a fork in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 1,['No'],[0.6333162189529968]
40,Is there a fork in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 2,['No'],[0.8774157763527466]
40,Is there a fork in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 3,['No'],[0.5926085115479065]
41,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8614533544586731]
41,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.91360741863714]
41,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9473286868141724]
41,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.952528953652246]
42,Is there a tv in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 0,['No'],[0.826619565586908]
42,Is there a tv in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 1,['No'],[0.9473048449562622]
42,Is there a tv in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 2,['No'],[0.9869247675942018]
42,Is there a tv in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 3,['No'],[0.9880754948662354]
43,Is there a person in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.9343487025307252]
43,Is there a person in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9920389653252198]
43,Is there a person in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9929546714829042]
43,Is there a person in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9935654998825624]
44,Is there a toaster in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.8396463991211487]
44,Is there a toaster in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.7605543733643128]
44,Is there a toaster in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.8375110031174255]
44,Is there a toaster in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.8773717285202576]
45,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8396288753555847]
45,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.935263216595514]
45,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9822373987244204]
45,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.977667272190912]
46,Is there a microwave in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.7772116662071777]
46,Is there a microwave in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.909832239251001]
46,Is there a microwave in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9614065886543824]
46,Is there a microwave in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.988373100857599]
47,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8151471615837647]
47,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9751442075775696]
47,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9929512144135072]
47,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9949077964829042]
48,Is there a backpack in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.6790755392120911]
48,Is there a backpack in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['No'],[0.913598358731134]
48,Is there a backpack in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.8055726290749146]
48,Is there a backpack in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.907266914944513]
49,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.7689654828117921]
49,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9796120525406434]
49,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9972658158348634]
49,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9948374630020692]
50,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.8595874906586243]
50,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.8576813937233521]
50,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9701799155281616]
50,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.9343109131859376]
51,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.6296817065285278]
51,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.949603259663446]
51,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9921573401497438]
51,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.993074417214258]
52,Is there a skis in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.668733537297113]
52,Is there a skis in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.6824402810143065]
52,Is there a skis in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.948850393395288]
52,Is there a skis in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.9503450394676758]
53,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.7121268511818482]
53,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9701882005737854]
53,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9867519141243531]
53,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9873526097343996]
54,Is there a bird in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.8175028563545776]
54,Is there a bird in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.995361626248224]
54,Is there a bird in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9945892096565796]
54,Is there a bird in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.9941564799355104]
55,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8332189322517944]
55,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.989139497380121]
55,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9940609336899354]
55,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9802303911255432]
56,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.9314152599381044]
56,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['No'],[0.9620562196777894]
56,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.7278747559593751]
56,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.6512526274727417]
57,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.7852206231163574]
57,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9584825039909912]
57,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9856826664017274]
57,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9802420736359192]
58,Is there a boat in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.6187093258904053]
58,Is there a boat in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.9769882560776308]
58,Is there a boat in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9939455390976504]
58,Is there a boat in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.9889610410736632]
59,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8353925944374634]
59,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.978998363118036]
59,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9762742520378664]
59,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.6991830469177795]
60,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.9854780436562136]
60,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.9303836823509766]
60,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.979281544785364]
60,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.9849489332245424]
61,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.9229549170540404]
61,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.8353379369782044]
